lemma,cat,def,etym,fam,proc,aff,rad,etym_mean,lang,base,etym_fam,label
ordre,Nom commun,"['Arrangement raisonné et logique, disposition régulière des choses les unes par rapport aux autres.']","['Du latin ordo (« rang, rangée ; classe de citoyens, succession ; distribution régulière ») avec un \\r\\ épenthétique. Le sens d’« ordre religieux » fut premier. Le sens d’« arrangement logique » apparaît en 1155.']","['infraordre', 'superordre', 'agencement', 'classement', 'hiérarchie', 'ordonnancement', 'distribution', 'commandement', 'demande', 'ordination', 'coordinateur', 'coordinatif', 'coordination', 'coordinatrice', 'coordonnance', 'coordonnateur', 'coordonner', 'coordonné', 'désordonnance', 'désordonnement', 'désordonner', 'désordonnerie', 'désordonné', 'incoordonné', 'insubordonné', 'ordinaire', 'ordinal', 'ordinateur', 'ordinatif', 'ordination', 'ordonnable', 'ordonnance', 'ordonnancement', 'ordonnancer', 'ordonnanciel', 'ordonnancier', 'ordonnateur', 'ordonnateur', 'ordonnatrice', 'ordonnement', 'ordonner', 'ordonné', 'ordre', 'réordination', 'réordiner', 'réordonnement', 'réordonner', 'subordination', 'subordonner', 'subordonné']",[],[],NULL,[],NULL,NULL,[],non dérivé
nucléé,Adjectif,['Qui est pourvu de noyau.'],['Du latin nucleatus (« à noyau »).'],"['anti-nucléaire', 'anti-nucléarisme', 'antinucléaire', 'binucléé', 'dénoyautage', 'dénoyauter', 'dénoyauteur', 'dénoyauteuse', 'dénucléarisation', 'dénucléariser', 'extranucléaire', 'internucléaire', 'mononucléaire', 'noyau', 'noyautage', 'noyauter', 'noyauteur', 'noyauteuse', 'nucléaire', 'nucléarisation', 'nucléariser', 'nucléarisme', 'nucléariste', 'nucléarité', 'nucléé', 'plurinucléé', 'polynucléaire', 'polynucléarité', 'polynucléé', 'post-nucléaire', 'postnucléaire', 'énergie nucléaire']",['suffixation'],['-é'],nuclé-,"[('nucleatus', 'à noyau')]",latin,noyau,"['anti-nucléaire', 'anti-nucléarisme', 'antinucléaire', 'binucléé', 'dénucléarisation', 'dénucléariser', 'extranucléaire', 'internucléaire', 'mononucléaire', 'nucléaire', 'nucléarisation', 'nucléariser', 'nucléarisme', 'nucléariste', 'nucléarité', 'plurinucléé', 'polynucléaire', 'polynucléarité', 'polynucléé', 'post-nucléaire', 'postnucléaire', 'énergie nucléaire']",supplétion régulière
ovoïde,Adjectif,['Qui est en forme d’ove ou d’œuf.'],"['Motdérivé de ove, avec le suffixe -oïde.']",[],['suffixation'],['-oïde'],ov-,"[('ove', '')]",latin,œuf,[],supplétion régulière
mois,Nom commun,"['Chacune des douze parties de l’année, dont chacune contient trente ou trente et un jours, excepté la seconde (février), qui est de vingt-huit jours dans les années ordinaires, et de vingt-neuf dans les années bissextiles.']","['Du moyen français mois, de l’ancien français mois, du latin mensis (« mois »).', 'Apparenté à une racine indo-européenne qui signifie « lune ». À comparer avec l’allemand Mond (« lune ») et Monat (« mois »), l’anglais moon (« lune ») et month (« mois »), le tchèque měsíc (« lune » et « mois »), le russe месяц, mesiats (« lune » et « mois »).']","['bimensuel', 'mensualiser', 'mensualité', 'mensuel', 'mensuellement', 'semestre', 'semestriel', 'trimestre', 'trimestriel', 'année', 'bimensualité', 'mensualisation', 'mensuelat', 'mois', 'quadrimestre', 'quadrimestriel', 'semi-mensuel', 'trimestrat']",[],[],NULL,[],NULL,NULL,[],non dérivé
malachite,Nom commun,"['Espèce minérale du groupe des carbonates et du sous-groupe des carbonates anhydres avec anions étrangers de formule Cu₂(CO₃)(OH)₂, susceptible de recevoir un beau poli et employée pour la fabrication d’objets d’ornement.']",['Du latin molochites qui donne melochite au XIIᵉ siècle avec rapprochement de malache (« mauve »).'],"['malachite', 'mauve', 'mauvette']",['suffixation'],['-ite'],malach-,"[('molocites', 'melochite'), ('malache', 'mauve')]",latin | grec ancien,mauve,[],supplétion rare
patibulaire,Adjectif,"['Qui concerne le gibet, qui est destiné à servir de gibet.']","['Adjectif construit sur le substantif latin patibulum (« croix », « potence », « perche »).']","['inquiétant', 'sinistre', 'gibet', 'patibulaire']",['suffixation'],['-aire'],patibul-,"[('patibulum', 'croix, potence, perche')]",latin,gibet,[],supplétion rare
lactique,Adjectif,['Qui provient du lait.'],"['Du latin lac, lactis (« lait ») avec le suffixe -ique.']","['alactique', 'lactiquement', 'paralactique', 'lacticémie', 'nancéique', 'zymique', 'zumique', 'lactique']",['suffixation'],['-ique'],lact-,"[('lac, lactis', 'lait')]",latin,lait,"['alactique', 'lactiquement', 'paralactique', 'lacticémie']",supplétion régulière
groupe,Nom commun,"['Ensemble de personnes, d’animaux.']","['Emprunté à l’italien gruppo (« nœud »), du germanique *kruppa (« masse arrondie »). C’est Évariste Galois qui vers 1830 utilisa le premier ce mot dans son sens mathématique.']","['dégroupement', 'dégrouper', 'groupage', 'groupal', 'groupalement', 'groupé', 'grouper', 'groupement', 'groupeur', 'groupie', 'groupisme', 'groupiste', 'groupoïde', 'groupusculaire', 'groupuscule', 'intragroupe', 'ensemble', 'florilège', 'ribambelle', 'procession', 'troupe', 'dégroupage', 'groupalité', 'groupe', 'groupé', 'regroupage', 'regroupement', 'regrouper']",[],[],NULL,[],NULL,NULL,[],non dérivé
lectrice,Nom commun,"['Celle qui lit seule et silencieusement un livre, un journal, etc., pour son plaisir ou pour s’instruire.']",['Du latin lectrix (« celle qui lit »).'],"['AL', 'audiolectrice', 'BL', 'rectrice', 'tectrice', 'vectrice', 'anagnoste', 'bouquineuse', 'récitante', 'conteuse', 'déclamatrice', 'autrice', 'écrivaine', 'lectorat', 'illisibilité', 'illisible', 'inlisible', 'inéligibilité', 'inéligible', 'lecteur', 'lecteurat', 'lectoral', 'lectorial', 'lectoriat', 'lectoriel', 'lectrice', 'lectural', 'lecture', 'lecturette', 'lecturier', 'lion', 'lionnette', 'lire', 'lisage', 'lisant', 'lisette', 'liseur', 'liseuse', 'lisibilité', 'lisible', 'lu', 'relecture', 'relire', 'relu', 'réélecter', 'réélection', 'rééligibilité', 'rééligible', 'réélire', 'réélu', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice', 'élider', 'éligibilité', 'éligible', 'élire', 'élision', 'élitaire', 'élite', 'élitique', 'élitisme', 'élitiste', 'élu', 'Lion', 'Lionnette']",['suffixation'],['-rice'],lect-,"[('lectrix', 'celle qui lit')]",latin,lire,"['audiolectrice', 'lectorat', 'lecteur', 'lecteurat', 'lectoral', 'lectorial', 'lectoriat', 'lectoriel', 'lectural', 'lecture', 'lecturette', 'lecturier', 'relecture', 'réélecter', 'réélection', 'électerat', 'électeur', 'électeurat', 'électif', 'élection', 'électivité', 'électoral', 'électoralisme', 'électoraliste', 'électoralitude', 'électorat', 'électrice']",supplétion régulière
kérosène,Nom commun,"[""Mélange d’hydrocarbures produit par raffinage, qui fut longtemps utilisé comme liquide d’éclairage et sert de nos jours surtout comme carburant pour les avions et comme additif dans l'essence d'automobile.""]","['Appelé d’abord kérosine en 1862, puis kérosène à partir de 1865 ; emprunté à l’anglais kerosene, lui-même dérivé du grec κηρός kêros, « cire » avec le suffixe anglais -ene (français -ène).']","['kérogène', 'naphte', 'pétrole', 'huile', 'essence', 'gazole', 'cirage', 'cire', 'cirer', 'cireur', 'cireuse', 'cireux', 'cirier', 'cirière', 'ciré', 'céréan', 'kérosène']",['suffixation'],['-ène'],kéros-,"[('κηρός, kêros', 'cire')]",grec ancien,cire,['kérogène'],supplétion rare
thalassique,Adjectif,"['Marin, aquatique.']",['Du latin thalassicus (« couleur de la mer »).'],"['maritime', 'thalassique']",['suffixation'],['-ique'],thalass-,"[('thalassicus', 'couleur de la mer')]",latin | grec ancien,mer,[],supplétion rare
cardiaque,Adjectif,['Relatif au cœur.'],['Du latin cardiacus.'],"['intracardiaque', 'carditique', 'cardiaire', 'cardiaque', 'cardite', 'cœur']",['suffixation'],['-aque'],cardi-,"[('cardiacus', '')]",latin | grec ancien,cœur,"['intracardiaque', 'carditique', 'cardiaire', 'cardiaire', 'cardiaque', 'cardite']",supplétion régulière
chthonien,Adjectif,"['Dans la mythologie grecque, relatif aux divinités infernales ou telluriques, c’est-à-dire souterraines, par opposition aux divinités ouraniennes ou éoliennes, c’est-à-dire célestes.']","['Du grec ancien χθόνιος, khthónios (« souterrain »), de χθών, khthṓn (« terre »).']","['infernal', 'souterrain', 'tellurique', 'allochtone', 'autochtone', 'épichthonien', 'céleste', 'éolien', 'ouranien', 'chthonien', 'chtonien', 'déterrage', 'déterrement', 'déterrer', 'déterreur', 'déterré', 'tellure', 'tellureux', 'tellurien', 'tellurique', 'tellurisme', 'tellurite', 'terrage', 'terrain', 'terrasse', 'terrassement', 'terrasser', 'terrassette', 'terrassier', 'terre', 'terrein', 'terrer', 'terrestre', 'terrestritude', 'terrestrité', 'terreux', 'terrien', 'terrier', 'terrir', 'terrière', 'Terre']",['suffixation'],['-ien'],chthon-,"[('χθόνιος, khthónios', 'souterrain'), ('χθών, khthṓn', 'terre')]",grec ancien,terre,"['allochtone', 'autochtone', 'épichthonien']",supplétion rare
phrase,Nom commun,"['Séquence de propositions ordonnées en fonction des règles de la grammaire, permettant de décrire quelque chose.']",['Du latin phrasis.'],"['antiphrase', 'paraphrase', 'paraphraser', 'phrasé', 'phraséologie', 'phraser', 'phraserie', 'phraseur', 'rephraser', 'charabia', 'antiphrastique', 'phrasaire', 'phrase', 'phrasette', 'phraseur', 'phraseuse', 'phrasier', 'phrasounette', 'phrastique']",[],[],NULL,[],NULL,NULL,[],non dérivé
pomme,Nom commun,"['Fruit du pommier, de forme ronde, à la chair ferme et de saveur diverse.']","['Du moyen français pomme, de l’ancien français pome, pume, du bas latin poma (« fruit du pommier »), du latin poma, pluriel neutre de pomum (« fruit [à pépin ou noyau] »), dont le sens dérive en « fruit du pommier » en bas latin en Gaule et dans le nord de l’Italie et qui remplace le latin classique mālum (« fruit du pommier »). Cognat de l’occitan et du catalan poma (« pomme »).']","['pomiforme', 'pommage', 'Pomme', 'pommé', 'pommeau', 'pommer', 'pommeraie', 'pommette', 'pommier', 'pomo', 'tête', 'visage', 'somme', 'volet', 'pomme', 'pommelaie', 'pommeler', 'pommelette', 'pommelière', 'pommelure', 'pommelé', 'pommerée', 'pommier', 'pomminette', 'pommounette', 'Pomminette', 'Pommounette']",[],[],NULL,[],NULL,NULL,[],non dérivé
corps,Nom commun,['Portion de matière qui forme un tout individuel et distinct.'],['Du latin corpus (même sens)\u202f; cors (début du XIIᵉ siècle).'],"['bicorps', 'corporalité', 'corporatisme', 'corporatiste', 'corporéité', 'monocorps', 'tricorps', 'chasse', 'panse', 'robe', 'cadre', 'corporel', 'corporellement', 'incorporel', 'corporatif', 'corporation', 'corpulent', 'corpulence', 'corpus', 'corpuscule', 'corpusculaire', 'incorporer', 'corsage', 'corset', 'corser', 'anticorps', 'corporel', 'corporisation', 'corporiser', 'corps', 'corselet', 'corsetage', 'corseter', 'corsetier', 'corsé', 'incorporalité', 'incorporel', 'métasomatisme', 'somatisation', 'somatiser']",[],[],NULL,[],NULL,NULL,[],non dérivé
coturnisme,Nom commun,['Intoxication aiguë due aux toxines sécrétées par les cailles sauvages.'],['Du latin coturnix « caille ».'],"['caillage', 'caille', 'caillement', 'cailler', 'cailletage', 'cailleter', 'caillette', 'caillounette', 'caillère', 'caillé', 'coturnisme']",['suffixation'],['-isme'],coturn-,"[('coturnix', 'caille')]",latin,caille,[],supplétion rare
gigantesque,Adjectif,['Qui dépasse considérablement la taille ordinaire.'],"['De l’italien gigantesco, dérivé de gigante (« géant »).']","['gigantesquement', 'gigantesque', 'gigantesquerie', 'gigantisme', 'géant', 'géanterie', 'géantise', 'géantisme', 'géantitude', 'Géant']",['suffixation'],['-esque'],gigant-,"[('gigante', 'géant')]",italien,géant,"['gigantesquement', 'gigantesquerie', 'gigantisme']",supplétion régulière
actinique,Adjectif,['Se dit d’un éclairage qui provoque une réaction chimique et impressionne une pellicule.'],"['Composé du grec ancien ἀκτίς, ἀκτῖνος, aktis, aktinos (« rayon ») et du suffixe -ique.']","['inactinique', 'radiable', 'radial', 'radialité', 'radian', 'radiant', 'radiateur', 'radiatif', 'radiation', 'radier', 'radiolaire', 'radiolarite', 'radius', 'radié', 'rayon', 'rayonnage', 'rayonnant', 'rayonnement', 'rayonner', 'rayonnisme', 'rayonniste', 'actinique', 'actinisme', 'actinite']",['suffixation'],['-ique'],actin-,"[('ἀκτίς, ἀκτῖνος, aktis, aktinos', 'rayon')]",grec ancien,rayon,"['inactinique', 'actinisme', 'actinite']",supplétion régulière
porte,Nom commun,['Ouverture battante dans un mur qui permet d’entrer ou sortir d’un endroit.'],"['Du latin porta (« porte d’une ville, d’un monument »), qui supplanta les mots fores et janua.']","['Delaporte', 'portail', 'Porte', 'PMT', 'porterie', 'portier', 'portière', 'portillon', 'lourde', 'chambranle', 'dormant', 'gond', 'heurtoir', 'imposte', 'linteau', 'poignée', 'porche', 'poterne', 'tympan', 'vantail', 'apport', 'apporter', 'apporteur', 'apporteuse', 'céroféraire', 'emport', 'emportement', 'emporter', 'emporté', 'import', 'importable', 'important', 'importateur', 'importation', 'importatrice', 'importer', 'importeur', 'importé', 'intransportable', 'ostiariat', 'port', 'portabilité', 'portable', 'portage', 'portager', 'portal', 'portant', 'portatif', 'porte', 'portelette', 'portement', 'porter', 'portette', 'porteur', 'porteuse', 'portier', 'portinette', 'portion', 'portionnaire', 'portionniste', 'portiorat', 'portière', 'portuaire', 'portuarité', 'portulan', 'porté', 'portée', 'rapport', 'rapportable', 'rapportage', 'rapporter', 'rapporteur', 'rapporteur', 'rapporteuse', 'rapporté', 'remporter', 'report', 'reportage', 'reportement', 'reporter', 'reporteur', 'réimport', 'réimportation', 'réimporter', 'thuriféraire', 'thuriférariat', 'transport', 'transportable', 'transportation', 'transporter', 'transporteur']",[],[],NULL,[],NULL,NULL,[],non dérivé
plage,Nom commun,['Étendue de sable ou de galets bordant un plan d’eau.'],"['(Au sens d’étendue de terre, rive sablonneuse) Du latin plaga (« large étendue, région »).', '(Pour tous les autres sens : plage de musique, de valeurs, etc) De l’italien piaggia, lui-même du grec ancien πλάγιος, plágios (« oblique, qui n’est pas en ligne droite »).']","['handiplage', 'plager', 'plageage', 'plagiste', 'grève', '🏖', 'berge', 'rivage', 'rive', 'plage', 'plagette', 'plagiat', 'plaginette']",[],[],NULL,[],NULL,NULL,[],non dérivé
pied,Nom commun,['Partie du corps humain située à l’extrémité des jambes.'],"['Du moyen français pied, de l’ancien français pié, du latin pĕdem, accusatif singulier de pēs, (« pied », « patte »).']","['antipied', 'bipied', 'entrepied', 'hochepied', 'marchepied', 'piètement', 'trépied', 'arpion', 'nougat', 'panard', 'paturon', 'peton', 'ripaton', 'pinceau', 'bonheur', 'cep', 'plant', 'inclinaison', 'écartement', 'fruit', 'pente', 'apode', 'apodidé', 'apodie', 'bipède', 'dépiéter', 'empiéger', 'empêchement', 'empêcher', 'empiétement', 'empiéter', 'gastéropode', 'péage', 'pédale', 'pédalo', 'pédauque', 'Pédauque', 'pédestre', 'piédestal', 'pédicure', 'piedmont', 'piédouche', 'piedroit', 'piège', 'piégeage', 'piéger', 'piégeur', 'Piémont', 'Piémontais', 'piémontais', 'piémontite', 'piétage', 'piétaille', 'piéter', 'piéteur', 'piétin', 'piétinement', 'piétiner', 'piéton', 'piétonne', 'piétonner', 'piétonnier', 'piétonnière', 'piètre', 'piètrement', 'piètrerie', 'podagre', 'podaire', 'podalique', 'podalirius', 'podalyre', 'podarge', 'podétion', 'podien', 'podium', 'podocarpe', 'podocère', 'pododysodie', 'podolépis', 'podolite', 'podologie', 'podologue', 'podomètre', 'podométrique', 'podophobie', 'podophobe', 'podophthalme', 'podophylle', 'podophylleux', 'podophyllin', 'podoscaphe', 'podostémon', 'podure', 'rempiétement', 'rempiéter', 'tripode', '👣', '🦶', 'dipode', 'décapode', 'endopodite', 'exopodite', 'hexapode', 'monopode', 'octopode', 'pedestrian', 'pedestrianisme', 'pied', 'piétement', 'pédane', 'pédestrien', 'pédestrité', 'pédieux', 'tétrapode']",[],[],NULL,[],NULL,NULL,[],non dérivé
pétré,Adjectif,"['Qui est pierreux, rocheux.']","['Du latin Petraea (« Arabie Pétrée »), de petraeus (« de pierre, pierreux »).']","['dépierrage', 'dépierrer', 'désempierrer', 'empierrage', 'empierrement', 'empierrer', 'empierré', 'lapidaire', 'lapidarité', 'lapidateur', 'lapidation', 'lapider', 'monolithe', 'monolithe', 'monolithique', 'monolithisme', 'perrier', 'perrière', 'pierre', 'pierrette', 'pierreux', 'pierrier', 'pierriste', 'pierrière', 'pierrot', 'pétré']",['suffixation'],['-é'],pétr-,"[('Petraea', 'Arabie Pétrée'), ('petraeus', 'de pierre, pierreux')]",latin | grec ancien,pierre,[],supplétion régulière
