lemma,cat,def,etym,étymologie étendue,déclinaison,fam,proc,aff,rad,etym_mean,lang,base,etym_fam
ordre,Nom commun,"['Arrangement raisonné et logique, disposition régulière des choses les unes par rapport aux autres.']","['Du latin ordo (« rang, rangée ; classe de citoyens, succession ; distribution régulière ») avec un \\r\\ épenthétique. Le sens d’« ordre religieux » fut premier. Le sens d’« arrangement logique » apparaît en 1155.']","[['Le Dictionnaire étymologique latin\u202f^([1]) explique : « ordo est proprement la rangée, ordine « en rang, par série ». Les autre sens sont tous déduits de l’idée de rang : ordinare « mettre en rang », « arranger, mettre en état ».', 'De l’indo-européen commun *ar- (« arranger »)\u202f^([1]), qui donne řád (« ordre, rang ») en tchèque ; proprement un dérivé avec le crément \\d\\ du même radical qui donne reor, ar-ma, ar-tus, etc.'], 'Ordre, disposition, arrangement, règle, régularité.']","[{'form': 'ordinēs', 'tags': ['plural', 'nominative']}, {'form': 'ordinēs', 'tags': ['plural', 'vocative']}, {'form': 'ordinem', 'tags': ['singular', 'accusative']}, {'form': 'ordinēs', 'tags': ['plural', 'accusative']}, {'form': 'ordinis', 'tags': ['singular', 'genitive']}, {'form': 'ordinum', 'tags': ['plural', 'genitive']}, {'form': 'ordinī', 'tags': ['singular', 'dative']}, {'form': 'ordinibus', 'tags': ['plural', 'dative']}, {'form': 'ordinĕ', 'tags': ['singular', 'ablative']}, {'form': 'ordinibus', 'tags': ['plural', 'ablative']}]","['infraordre', 'superordre', 'agencement', 'classement', 'hiérarchie', 'ordonnancement', 'distribution', 'commandement', 'demande', 'ordination', 'coordinateur', 'coordinatif', 'coordination', 'coordinatrice', 'coordonnance', 'coordonnateur', 'coordonner', 'coordonné', 'désordonnance', 'désordonnement', 'désordonner', 'désordonnerie', 'désordonné', 'incoordonné', 'insubordonné', 'ordinaire', 'ordinal', 'ordinateur', 'ordinatif', 'ordonnable', 'ordonnance', 'ordonnancer', 'ordonnanciel', 'ordonnancier', 'ordonnateur', 'ordonnatrice', 'ordonnement', 'ordonner', 'ordonné', 'ordre', 'réordination', 'réordiner', 'réordonnement', 'réordonner', 'subordination', 'subordonner', 'subordonné']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
humain,Adjectif,['Relatif à l’espèce humaine.'],"['Du latin humanus,dérivé de homo (« homme »), avec le suffixe -anus.Dérivé de humus (« terre »), avec le suffixe -o, -onis, -inis, littéralement « terrien »']","[['Faisait archaïquement hemonus,dérivé de homo (« homme »), avec le suffixe -anus.'], ['Faisait archaïquement hemonus,dérivé de homo (« homme »), avec le suffixe -anus.'], ['Dérivé de humus (« terre »), avec le suffixe -o, -onis, -inis, littéralement « terrien » ; apparenté au lituanien žmogus (« homme »), au vieil anglais guma, au tchèque zeman (« propriétaire terrien »).', 'Faisait archaïquement hĕmo (voir benus pour un développement similaire) ; de là nemo (« personne »), le radical humus se retrouve dans son dérivé humanus. La variante avec une voyelle courte finale est un exemple d’abrègement iambique (brevis brevians).'], ['On a rapproché ce mot du sanscrit भूमि, bhūmī (« terre ») mais il ne peut y être assimilé car \\u\\ est long dans bhūmī et bref dans humus.', ""De l’indo-européen commun *dʰéǵʰōm dont descendent le sanscrit क्ष, kṣa, l'albanais dheu, le grec ancien χθών, khthōn (« sol, terre »), χαμαί, khamaí (« à terre »), le slavon зємлıa, zemlia (« terre »)."", 'Lui est apparenté homō (« être humain », « terrien ») ; comparez, en lituanien, žmuo (« homme ») et žemė (« terre »).'], 'Sol, terre.']","[{'form': 'hume', 'tags': ['singular', 'vocative']}, {'form': 'humum', 'tags': ['singular', 'accusative']}, {'form': 'humī', 'tags': ['singular', 'genitive']}, {'form': 'humō', 'tags': ['singular', 'dative']}, {'form': 'humō', 'tags': ['singular', 'ablative']}, {'form': 'humī', 'tags': ['singular', 'locative']}]","['humainement', 'humaniser', 'humanisme', 'humanités', 'humanure', 'inhumain', 'interhumain', 'suprahumain', 'surhumain', 'transhumanisme', 'transhumaniste', 'anthropien', 'anti-humaniste', 'anti-humanisterie', 'antihumanisme', 'antihumaniste', 'démasculinisation', 'démasculiniser', 'déshumanisant', 'déshumanisation', 'déshumaniser', 'dévirilisation', 'déviriliser', 'hominien', 'hominisation', 'hominiser', 'hominisme', 'hoministe', 'hommasse', 'hommassité', 'homme', 'hommelet', 'hommelette', 'hommette', 'humain', 'humainerie', 'humane', 'humanisable', 'humanisation', 'humaniste', 'humanisterie', 'humanistique', 'humanitaire', 'humanitairerie', 'humanitarisme', 'humanitariste', 'humanitisme', 'humanité', 'hypoandrisme', 'inhominalisme', 'inhumanité', 'masculin', 'masculinisation', 'masculiniser', 'masculinisme', 'masculiniste', 'masculinité', 'masculisme', 'viril', 'virilerie', 'virilisation', 'viriliser', 'virilisme', 'virilité', 'Homme', 'être humain']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
marmoréen,Adjectif,['Qui a la nature ou l’apparence du marbre.'],['Du latin marmoreus (« de marbre »).'],"[['Dérivé de marmor (« marbre »), avec le suffixe -eus.'], [""Du grec ancien μάρμαρος, mármaros, d'un radical de l’indo-européen commun *mer- (« casser, briser, voler ») qui donne, en latin mortārium (« mortier »), mŏrētum (« ragoût [morceaux mélangés] »), morbus (« malade »), mordeo (« mordre »), etc."", 'Le verbe grec ancien μαραίνω maraínô (« casser, détruire »), dont un dérivé nous a donné marasme donne μάρμαρος mármaros (« pierre [en général] », puis « pierre de taille, marbre ») comme rumpō (« rompre ») donne rūpēs (« pierre »).'], ['Étymologie discutée :', 'De μαραίνω, maraínô (« casser, détruire ») comme rumpō (« rompre ») donne rūpēs (« pierre ») ; le sens propre serait alors « pierre taillée, pierre de taille ».', 'De μαρμαίρω, marmairō (« briller ») apparenté au latin merus (« brillant, pur ») ; le sens propre serait alors « pierre polie, pierre brillante ».'], ['Étymologie discutée :', 'De μαραίνω, maraínô (« casser, détruire ») comme rumpō (« rompre ») donne rūpēs (« pierre ») ; le sens propre serait alors « pierre taillée, pierre de taille ».', 'De μαρμαίρω, marmairō (« briller ») apparenté au latin merus (« brillant, pur ») ; le sens propre serait alors « pierre polie, pierre brillante ».'], 'Brillant, taillé, de taille.']",[],"['marbrage', 'marbre', 'marbrer', 'marbreur', 'marbreuse', 'marbrier', 'marbrière', 'marbré', 'marmorisation', 'marmoriser', 'marmoréen']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
vent,Nom commun,['Mouvement d’air extérieur et nettement perceptible suivant une direction déterminée.'],"['Du moyen français vent, de l’ancien français vent, du latin ventum, accusatif singulier de ventus.']",['Supin de venio.'],[],"['abrivent', 'contrevent', 'contreventement', 'contreventer', 'déventer', 'évent', 'éventable', 'éventage', 'éventail', 'éventaillé', 'éventaillerie', 'éventaillier', 'éventailliste', 'éventaire', 'éventement', 'éventer', 'éventeur', 'éventiller', 'éventoir', 'grilauvent', 'reventer', 'surventer', 'ventage', 'ventail', 'ventaille', 'ventaison', 'venté', 'venteau', 'ventelet', 'venter', 'venterolles', 'venteur', 'venteux', 'ventier', 'ventilateur', 'ventilation', 'ventiler', 'ventileuse', 'ventillon', 'ventôse', 'virevent', '🌬', 'anémomètre', 'girouette', 'houlée', 'pétomane', 'déventement', 'Eole', 'Eolie', 'vent', 'ventosité', 'Éolien', 'éolien', 'éolisme']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
chthonien,Adjectif,"['Dans la mythologie grecque, relatif aux divinités infernales ou telluriques, c’est-à-dire souterraines, par opposition aux divinités ouraniennes ou éoliennes, c’est-à-dire célestes.']","['Du grec ancien χθόνιος, khthónios (« souterrain »), de χθών, khthṓn (« terre »).']","[['dérivé de χθών, khthṓn (« terre »), avec le suffixe -ιος, -ios.'], ['De l’indo-européen commun *dʰéǵʰōm dont descendent le sanskrit क्ष, kṣa, le latin humus (« terre, sol ») ou, via le proto-slave, le tchèque země (« terre »).'], 'Sol, terre.']","[{'form': 'χθόνες', 'tags': ['plural', 'nominative'], 'article': 'αἱ'}, {'form': 'χθόνε', 'tags': ['dual', 'nominative'], 'article': 'τὼ'}, {'form': 'χθόνες', 'tags': ['plural', 'vocative']}, {'form': 'χθόνε', 'tags': ['dual', 'vocative']}, {'form': 'χθόνα', 'tags': ['singular', 'accusative'], 'article': 'τὴν'}, {'form': 'χθόνας', 'tags': ['plural', 'accusative'], 'article': 'τὰς'}, {'form': 'χθόνε', 'tags': ['dual', 'accusative'], 'article': 'τὼ'}, {'form': 'χθονός', 'tags': ['singular', 'genitive'], 'article': 'τῆς'}, {'form': 'χθονῶν', 'tags': ['plural', 'genitive'], 'article': 'τῶν'}, {'form': 'χθονοῖν', 'tags': ['dual', 'genitive'], 'article': 'τοῖν'}, {'form': 'χθονί', 'tags': ['singular', 'dative'], 'article': 'τῇ'}, {'form': 'χθοσί(ν)', 'tags': ['plural', 'dative'], 'article': 'ταῖς'}, {'form': 'χθονοῖν', 'tags': ['dual', 'dative'], 'article': 'τοῖν'}]","['infernal', 'souterrain', 'tellurique', 'allochtone', 'autochtone', 'épichthonien', 'céleste', 'éolien', 'ouranien', 'chthonien', 'chtonien', 'déterrage', 'déterrement', 'déterrer', 'déterreur', 'déterré', 'tellure', 'tellureux', 'tellurien', 'tellurisme', 'tellurite', 'terrage', 'terrain', 'terrasse', 'terrassement', 'terrasser', 'terrassette', 'terrassier', 'terre', 'terrein', 'terrer', 'terrestre', 'terrestritude', 'terrestrité', 'terreux', 'terrien', 'terrier', 'terrir', 'terrière', 'Terre']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
oiseau,Nom commun,"['Animal vertébré théropode, à deux pattes et deux ailes, ovipare, homéotherme, au corps couvert de plumes et qui possède un bec corné dépourvu de dents.']","['Du moyen français oiseau, oyseau, de l’ancien français oisel, du bas latin aucellus (« petit oiseau »), forme contractée de *avicellus, diminutif du latin avis (« oiseau »).']","[['Du radical indo-européen commun *au̯ei- (« oiseau [d’eau] »)\u202f^([1]), étroitement lié à celui de aqua d’où auca (« oie »), aquila (« aigle »), le grec ancien ἀετός, aetós (« aigle »), le breton houad (« canard »).', 'Le Dictionnaire étymologique latin\u202f^([2]) explique au sujet de ses dérivés :', 'La science des augures avait pris à Rome une si grande importance et avait tellement pénétré dans la vie de tous les jours, que nous trouvons le mot avis en tête d’un certain nombre de composés où on ne le soupçonnerait pas d’abord. Tels sont : au-cupari (« chercher, guetter », littéralement « guetter un présage »), au-tumare (« avérer », « affirmer »). Dans au-gurium, la seconde partie est formée d’un verbe *gurere, « éprouver » qui a donné le substantif gustus. En grec, le \\u\\ de avis est tombé et le mot s’est allongé de suffixes : οἰ-ωνός, oi-ônós (« oiseau »), αε-τός, ae-tós (« aigle »). De même, en français, avis se retrouve dans la diphtongue \\wa\\ de oiseau (= avi-cellus).'], 'Oiseau.']","[{'form': 'avēs', 'tags': ['plural', 'nominative']}, {'form': 'avēs', 'tags': ['plural', 'vocative']}, {'form': 'avĕm', 'tags': ['singular', 'accusative']}, {'form': 'avēs', 'tags': ['plural', 'accusative']}, {'form': 'avĭs', 'tags': ['singular', 'genitive']}, {'form': 'aviŭm', 'tags': ['plural', 'genitive']}, {'form': 'avī', 'tags': ['singular', 'dative']}, {'form': 'avĭbŭs', 'tags': ['plural', 'dative']}, {'form': 'avĕ', 'tags': ['singular', 'ablative']}, {'form': 'avĭbŭs', 'tags': ['plural', 'ablative']}, {'form': 'auis'}]","['antioiseau', 'oiseaulogue', 'oiselage', 'oiseler', 'oiselet', 'oiselier', 'oiselle', 'oisellerie', 'oisillon', 'zoiseau', 'moquoiseau', 'Loiseau', 'volatile', 'zèbre', 'zigoto', 'zoziau', 'zozio', 'zozyau', 'roitelet', 'papegai', 'auge', 'piaf', 'aviaire', 'couvée', 'nichée', 'aviarité', 'avien', 'oiseau', 'oiselette', 'oiseleur', 'oisellette', 'ornithien']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
pierre,Nom commun,"['Roche solide et plus ou moins dure, qui constitue une masse compacte dans le sol ou qui affleure à la surface.']","['Du moyen français pierre, de l’ancien français pierre (1100), peddre, pedra, du latin pĕtra (« roche, rocher »), du grec ancien πέτρα, pétra, qui a supplanté lapis en latin populaire.']","[['Du grec ancien πέτρα, pétra, qui a supplanté lapis en latin populaire.'], [""De l'indo-européen *per-trā‑, passage.""], 'Pierre, roche.']","[{'form': 'πετραι', 'tags': ['plural', 'nominative'], 'article': 'αἱ'}, {'form': 'πετραι', 'tags': ['plural', 'vocative']}, {'form': 'πέτραν', 'tags': ['singular', 'accusative'], 'article': 'τὴν'}, {'form': 'πέτρας', 'tags': ['plural', 'accusative'], 'article': 'τὰς'}, {'form': 'πέτρας', 'tags': ['singular', 'genitive'], 'article': 'τῆς'}, {'form': '{{{4}}}ῶν', 'tags': ['plural', 'genitive'], 'article': 'τῶν'}, {'form': 'πέτραιν', 'tags': ['dual', 'genitive'], 'article': 'τοῖν'}, {'form': 'πέτρᾳ', 'tags': ['singular', 'dative'], 'article': 'τῇ'}, {'form': 'πέτραις', 'tags': ['plural', 'dative'], 'article': 'ταῖς'}, {'form': 'πέτραιν', 'tags': ['dual', 'dative'], 'article': 'τοῖν'}, {'form': 'πέτρη', 'raw_tags': ['Grec homérique, ionien']}, {'form': 'πέτρος'}]","['dépierrer', 'désempierrer', 'empierré', 'empierrer', 'épierrer', 'perron', 'pierrade', 'pierraille', 'Pierre', 'pierrer', 'pierreries', 'pierrette', 'pierreuse', 'pierreux', 'pierrier', 'perrière', 'pierriste', 'pierrot', 'pierrure', 'réempierrer', 'aimant', 'coquillier', 'épaufrer', 'épaufrure', 'gélif', 'glyptothèque', 'jade', 'dépierrage', 'empierrage', 'empierrement', 'lapidaire', 'lapidarité', 'lapidateur', 'lapidation', 'lapider', 'monolithe', 'monolithique', 'monolithisme', 'perrier', 'pierre', 'pierrière', 'pétré']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
rupestre,Adjectif,['Qui a rapport aux rochers.'],"['Du latin rupes (« roche »), via le latin scientifique rupestris → voir campestris et champêtre. La première attestion selon le Petit Robert et Usito serait 1812, mais le terme est au moins de deux ans plus ancien, comme le montre la source.']","[['De rumpo (« rompre, casser ») → voir marmor pour un mot issu du grec fondé sur une construction similaire « casser/pierre ».'], 'Rocher, antre, caverne.']","[{'form': 'rupēs', 'tags': ['plural', 'nominative']}, {'form': 'rupēs', 'tags': ['plural', 'vocative']}, {'form': 'rupĕm', 'tags': ['singular', 'accusative']}, {'form': 'rupēs', 'tags': ['plural', 'accusative']}, {'form': 'rupĭs', 'tags': ['singular', 'genitive']}, {'form': 'rupiŭm', 'tags': ['plural', 'genitive']}, {'form': 'rupī', 'tags': ['singular', 'dative']}, {'form': 'rupĭbŭs', 'tags': ['plural', 'dative']}, {'form': 'rupĕ', 'tags': ['singular', 'ablative']}, {'form': 'rupĭbŭs', 'tags': ['plural', 'ablative']}]","['dérochage', 'dérochement', 'dérocher', 'dérocheuse', 'enrochement', 'enrocher', 'rochage', 'rochassier', 'roche', 'rocher', 'rocheux', 'rochier', 'rupestre', 'rupestrerie']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
terre,Nom commun,"['Sol sur lequel nous marchons, sur lequel les maisons sont construites, qui produit et nourrit les végétaux.']","['De l’ancien français terre, terra, du latin terra.']","[[""De l’indo-européen commun *ters (« asséché, sec, soif »)\u202f^([1]), dont est issu l'albanais djers (« sueur »), le grec ancien τέρσομαι, tersomai (« sécher »), le sanscrit तृष्यति, tṛṣyati, l’anglais thirst (« soif »), l'allemand Durst (« soif ») et les mots latins torridus (« torride »), torreo (« sécher, brûler »).""], 'Terre ferme par opposition à la mer ou au ciel. Terre (élément) par opposition à l’eau, au feu et à l’air.']","[{'form': 'terră', 'tags': ['singular', 'nominative']}, {'form': 'terrae', 'tags': ['plural', 'nominative']}, {'form': 'terră', 'tags': ['singular', 'vocative']}, {'form': 'terrae', 'tags': ['plural', 'vocative']}, {'form': 'terrăm', 'tags': ['singular', 'accusative']}, {'form': 'terrās', 'tags': ['plural', 'accusative']}, {'form': 'terrae', 'tags': ['singular', 'genitive']}, {'form': 'terrārŭm', 'tags': ['plural', 'genitive']}, {'form': 'terrae', 'tags': ['singular', 'dative']}, {'form': 'terrīs', 'tags': ['plural', 'dative']}, {'form': 'terrā', 'tags': ['singular', 'ablative']}, {'form': 'terrīs', 'tags': ['plural', 'ablative']}]","['Angleterre', 'atterrir', 'atterrissage', 'atterrissement', 'atterrisseur', 'déterrage', 'déterré', 'déterrée', 'déterrement', 'déterrer', 'déterreur', 'enterrage', 'enterrement', 'enterrer', 'extraterrestre', 'fumeterre', 'redéterrer', 'réenterrer', 'terraformation', 'terrage', 'terrain', 'terramare', 'terraqué', 'terrarium', 'terrasse', 'terrassement', 'terrasser', 'terrassier', 'terreau', 'terreauter', 'terrer', 'terrestre', 'terreux', 'terricide', 'terricole', 'terrien', 'Terrien', 'terrier', 'terrière', 'terrigène', 'terrine', 'territoire', 'territorial', 'territorialité', 'terroir', 'Finistère', 'chthonien', 'chtonien', 'tellure', 'tellureux', 'tellurien', 'tellurique', 'tellurisme', 'tellurite', 'terrassette', 'terre', 'terrein', 'terrestritude', 'terrestrité', 'terrir', 'Terre']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
pied,Nom commun,['Partie du corps humain située à l’extrémité des jambes.'],"['Du moyen français pied, de l’ancien français pié, du latin pĕdem, accusatif singulier de pēs, (« pied », « patte »).']",['Accusatif singulier de pedis.'],[],"['antipied', 'bipied', 'entrepied', 'hochepied', 'marchepied', 'piètement', 'trépied', 'arpion', 'nougat', 'panard', 'paturon', 'peton', 'ripaton', 'pinceau', 'bonheur', 'cep', 'plant', 'inclinaison', 'écartement', 'fruit', 'pente', 'apode', 'apodidé', 'apodie', 'bipède', 'dépiéter', 'empiéger', 'empêchement', 'empêcher', 'empiétement', 'empiéter', 'gastéropode', 'péage', 'pédale', 'pédalo', 'pédauque', 'Pédauque', 'pédestre', 'piédestal', 'pédicure', 'piedmont', 'piédouche', 'piedroit', 'piège', 'piégeage', 'piéger', 'piégeur', 'Piémont', 'Piémontais', 'piémontais', 'piémontite', 'piétage', 'piétaille', 'piéter', 'piéteur', 'piétin', 'piétinement', 'piétiner', 'piéton', 'piétonne', 'piétonner', 'piétonnier', 'piétonnière', 'piètre', 'piètrement', 'piètrerie', 'podagre', 'podaire', 'podalique', 'podalirius', 'podalyre', 'podarge', 'podétion', 'podien', 'podium', 'podocarpe', 'podocère', 'pododysodie', 'podolépis', 'podolite', 'podologie', 'podologue', 'podomètre', 'podométrique', 'podophobie', 'podophobe', 'podophthalme', 'podophylle', 'podophylleux', 'podophyllin', 'podoscaphe', 'podostémon', 'podure', 'rempiétement', 'rempiéter', 'tripode', '👣', '🦶', 'dipode', 'décapode', 'endopodite', 'exopodite', 'hexapode', 'monopode', 'octopode', 'pedestrian', 'pedestrianisme', 'pied', 'piétement', 'pédane', 'pédestrien', 'pédestrité', 'pédieux', 'tétrapode']",['FAIL'],['FAIL'],FAIL,['FAIL'],FAIL,FAIL,['FAIL']
